"Date","Result","WhiteElo","BlackElo","NMoves","game_id","Player","Name"
"2021.06.03","Jan-00",2614,2076,22,16054184,"WhitePlayerName","Pouya Idani"
"2021.06.03","Jan-00",2614,2076,22,16054184,"BlackPlayerName","Ibrahim Sultan"
"2021.06.05","1/2-1/2",2628,2778,29,16054810,"WhitePlayerName","Constantin Lupulescu"
"2021.06.05","1/2-1/2",2628,2778,29,16054810,"BlackPlayerName","Levon Aronian"
"2021.06.05","1/2-1/2",2784,2860,44,16054814,"WhitePlayerName","Alexander Grischuk"
"2021.06.05","1/2-1/2",2784,2860,44,16054814,"BlackPlayerName","Maxime Vachier-Lagrave"
"2021.06.05","1/2-1/2",2556,2731,47,16055762,"WhitePlayerName","Bogdan-Daniel Deac"
"2021.06.05","1/2-1/2",2556,2731,47,16055762,"BlackPlayerName","Anish Giri"
"2021.06.05","Jan-00",2485,2364,31,16055794,"WhitePlayerName","Abhimanyu Mishra"
"2021.06.05","Jan-00",2485,2364,31,16055794,"BlackPlayerName","Rafat Issa"
"2021.06.05","Jan-00",2614,2253,52,16055796,"WhitePlayerName","Pouya Idani"
"2021.06.05","Jan-00",2614,2253,52,16055796,"BlackPlayerName","Ali Layth Ahmed Ahmed"
"2021.06.06","0-1",2485,2542,50,16055834,"WhitePlayerName","Abhimanyu Mishra"
"2021.06.06","0-1",2485,2542,50,16055834,"BlackPlayerName","Gergely Aczel"
"2021.06.06","1/2-1/2",2731,2758,30,16056074,"WhitePlayerName","Anish Giri"
"2021.06.06","1/2-1/2",2731,2758,30,16056074,"BlackPlayerName","Teimour Radjabov"
"2021.06.06","1/2-1/2",2741,2778,30,16056126,"WhitePlayerName","Wesley So"
"2021.06.06","1/2-1/2",2741,2778,30,16056126,"BlackPlayerName","Levon Aronian"
"2021.06.06","Jan-00",2773,2628,28,16056156,"WhitePlayerName","Fabiano Luigi Caruana"
"2021.06.06","Jan-00",2773,2628,28,16056156,"BlackPlayerName","Constantin Lupulescu"
"2021.06.07","Jan-00",NA,NA,60,16058718,"WhitePlayerName","Pouya Idani"
"2021.06.07","Jan-00",NA,NA,60,16058718,"BlackPlayerName","Akar Ali Salih Salih"
"2021.06.07","Jan-00",2436,2446,29,16058730,"WhitePlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2436,2446,29,16058730,"BlackPlayerName","Thai Dai Van Nguyen"
"2021.06.07","Jan-00",2474,2299,19,16058732,"WhitePlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2299,19,16058732,"BlackPlayerName","Polina Shuvalova"
"2021.06.07","Jan-00",2474,2299,29,16058734,"WhitePlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2299,29,16058734,"BlackPlayerName","Polina Shuvalova"
"2021.06.07","Jan-00",2474,2299,36,16058736,"WhitePlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2299,36,16058736,"BlackPlayerName","Polina Shuvalova"
"2021.06.07","Jan-00",2656,2780,39,16058740,"WhitePlayerName","Constantin Lupulescu"
"2021.06.07","Jan-00",2656,2780,39,16058740,"BlackPlayerName","Anish Giri"
